96,2019-Jul-22 18:29:02,1,7,18,Bhanu
97,2019-Jul-22 18:19:06,1,7,18,Bhanu
98,2019-Jul-22 17:43:42,1,7,17,Bhanu
99,2019-Jul-22 17:40:32,1,7,17,Bhanu
100,2019-Jul-22 17:33:40,1,7,17,Bhanu
101,2019-Jul-22 17:10:55,1,7,17,Bhanu
102,2019-Jul-22 17:08:03,1,7,17,Bhanu
103,2019-Jul-22 16:12:28,1,7,16,Bhanu
104,2019-Jul-22 16:07:07,1,7,16,Bhanu
105,2019-Jul-22 12:25:14,1,7,12,Bhanu
106,2019-Jul-22 12:24:27,1,7,12,Bhanu
107,2019-Jul-22 11:08:10,1,7,11,Bhanu
108,2019-Jul-22 11:07:58,1,7,11,Bhanu
109,2019-Jul-20 17:14:21,6,7,17,Bhanu
110,2019-Jul-20 15:29:58,6,7,15,Bhanu
111,2019-Jul-19 18:38:15,5,7,18,Bhanu
112,2019-Jul-19 17:48:34,5,7,17,Bhanu
113,2019-Jul-19 13:54:41,5,7,13,Bhanu
114,2019-Jul-19 13:49:26,5,7,13,Bhanu
115,2019-Jul-19 12:10:31,5,7,12,Bhanu
116,2019-Jul-18 22:09:56,4,7,22,Bhanu
117,2019-Jul-18 22:05:24,4,7,22,Bhanu
118,2019-Jul-18 15:53:59,4,7,15,Bhanu
119,2019-Jul-18 13:22:00,4,7,13,Bhanu
120,2019-Jul-18 12:58:36,4,7,12,Bhanu
121,2019-Jul-18 12:37:54,4,7,12,Bhanu
122,2019-Jul-18 12:34:05,4,7,12,Bhanu
123,2019-Jul-17 20:36:55,3,7,20,Bhanu
124,2019-Jul-16 15:11:34,2,7,15,Bhanu
125,2019-Jul-16 15:04:04,2,7,15,Bhanu
126,2019-Jul-16 14:24:39,2,7,14,Bhanu
127,2019-Jul-16 13:01:44,2,7,13,Bhanu
128,2019-Jul-16 12:36:48,2,7,12,Bhanu
129,2019-Jul-15 16:58:33,1,7,16,Bhanu
130,2019-Jul-15 16:51:16,1,7,16,Bhanu
131,2019-Jul-12 13:21:11,5,7,13,Bhanu
132,2019-Jul-12 13:14:58,5,7,13,Bhanu
133,2019-Jul-11 16:14:37,4,7,16,Bhanu
134,2019-Jul-11 16:08:03,4,7,16,Bhanu
135,2019-Jul-11 15:33:04,4,7,15,Bhanu
136,2019-Jul-11 14:23:03,4,7,14,Bhanu
137,2019-Jul-11 11:41:16,4,7,11,Bhanu
138,2019-Jul-11 09:38:21,4,7,9,Bhanu
139,2019-Jul-10 22:19:20,3,7,22,Bhanu
140,2019-Jul-10 21:33:53,3,7,21,Bhanu
141,2019-Jul-10 21:18:24,3,7,21,Bhanu
142,2019-Jul-09 23:41:04,2,7,23,Bhanu
143,2019-Jul-09 23:32:41,2,7,23,Bhanu
144,2019-Jul-09 21:56:51,2,7,21,Bhanu
145,2019-Jul-07 13:48:59,0,7,13,Bhanu
146,2019-Jul-07 13:40:07,0,7,13,Bhanu
147,2019-Jul-07 13:39:11,0,7,13,Bhanu
148,2019-Jul-07 13:38:02,0,7,13,Bhanu
149,2019-Jul-07 13:32:34,0,7,13,Bhanu
150,2019-Jul-05 16:47:19,5,7,16,Bhanu
151,2019-Jul-05 12:40:14,5,7,12,Bhanu
152,2019-Jul-05 12:36:49,5,7,12,Bhanu
